,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,m_0_16,m_1_15,m_2_14,m_3_13
0,24,0,0,0.0,35.27886192227132,162.282764842448,14.111544768908507,33.01082821745649,42.33463430672552,47.03848256302842,28.32091683127895,110.64047063546575,77.64912326609422,60.01614068201445,44.851365387944156,40.37012557941796,14.33347283683645,68.01742683289012,33.27158194069477,0.8118188058924716,18.961818525599124,21.167317153362816,21.15924535677982,74.5314609313707,78.15542008087448,89.40405788396451,400.0,392.8839802706742,376.37400255757575,350.44458736853557
1,24,1,0,0.0333333333333333,35.27886192227132,164.63468897059937,14.111544768908507,33.01082821745649,42.33463430672552,47.03848256302842,28.32091683127895,110.64047063546575,77.64912326609422,60.01614068201445,44.851365387944156,40.305180074946634,14.301000084600787,68.04989958512579,33.304054692930436,0.7793460536568091,18.961818525599124,21.167317153362816,21.15924535677982,74.5314609313707,78.15542008087448,89.40405788396451,400.0,392.8839802706742,376.37400255757575,350.44458736853557
2,24,2,0,0.0666666666666666,35.27886192227132,164.63468897059937,14.111544768908507,33.01082821745649,42.33463430672552,47.03848256302842,28.32091683127895,110.64047063546575,77.64912326609422,60.01614068201445,44.851365387944156,40.305180074946634,14.301000084600787,68.04989958512579,33.304054692930436,0.7793460536568091,18.961818525599124,21.167317153362816,21.15924535677982,74.5314609313707,78.15542008087448,89.40405788396451,400.0,392.8839802706742,376.37400255757575,350.44458736853557
3,24,3,0,0.0999999999999999,35.69847887559984,164.21300282775914,14.476357979542794,35.7777208795985,42.83817465071975,47.59797183413306,31.030081246384782,116.83338867552226,81.05642525979351,63.20464032815096,48.88318754476552,42.50194981932725,14.684773771893788,71.11182620532463,33.80206360359,3.534122342763453,14.476357979542673,14.4763579795428,14.314846947230649,74.22317503418742,77.79032655772437,85.70939707481953,399.99999999999983,395.1276762796347,378.41135996518756,352.2330316787656
4,24,4,0,0.1333333333333332,38.1364801102337,164.16052799516075,14.273329615604993,33.304435769744984,40.4411005775476,45.19887711608259,28.645608086764145,114.28571428571422,81.0220149174526,61.94553419573788,46.6985857609219,42.32234104739848,15.890102609966448,69.77523719756903,35.002966901936475,4.788702282370082,4.757776538534997,7.1366648078024975,7.130622376667702,71.75363536678185,68.18832417844794,76.27296022046723,399.99999999999994,392.6967418838554,373.5157613548271,352.0754638515907
5,24,5,0,0.1666666666666665,40.99823066410776,166.1348757999746,14.444994006175284,31.389946556064913,40.927483017496236,45.742481019554496,28.990126919240797,115.78543509707707,84.39992428732722,63.89844203951134,47.89323227569912,42.34936744522872,16.149206252915405,70.65187737844792,37.90707575639749,5.0470769430644395,5.383331422064055,7.613180307832185,6.069452015696584,67.18876181551775,64.72642185185441,72.3852920262169,400.00000000000006,392.5404788442134,375.5775604242379,349.087355149232
6,24,6,0,0.1999999999999998,43.309886656027665,158.8029177387686,17.01373030383233,33.77129038510478,40.97448851833203,48.18221135636412,26.576296318293778,120.52159560000128,86.75334281824541,65.10884513297924,51.98690865233266,45.375856684984,22.137007345212965,71.82006455437863,36.5611207285192,6.110214697094875,4.8122096284475955,7.608771502043392,7.2621404186784275,72.62140418678473,66.51118948968963,77.03294026880042,400.0000000000001,392.4606996004877,375.3600628140911,351.32426167046384
7,24,7,0,0.2333333333333331,38.58466339227104,149.22440080563274,19.404606155329258,33.78168183374377,40.987096395854486,45.73005831140357,24.068451742844047,115.753990176813,81.97419279170897,62.65555655930143,52.99773352410466,48.73591837690037,26.808192054994493,64.82083360989725,26.876931008981842,8.042457616498382,9.923676878082816,9.923676878082706,9.65782303519677,73.89437553620292,70.25121097488329,84.27395758826503,400.00000000000006,394.90601453840856,377.90535156694983,351.39939544552243
8,24,8,0,0.2666666666666664,48.65042554105194,143.51875534610338,14.796449278208799,31.716197120135927,41.35286170989417,46.21790426399928,29.190255324631188,124.15394147360756,92.4678098474716,68.13535574389641,60.735585982591715,52.25817984828154,27.35759538936702,67.63245876982728,34.78610212061858,13.937430424204763,14.796449278208685,14.595127662315647,14.569643763034946,73.8109073083923,78.88298250400487,80.31005006854276,400.0,396.97823111139394,379.66818275183766,355.2230735082713
9,24,9,0,0.2999999999999997,39.251986577164416,142.30959847042647,19.778727057365977,34.34548825501898,34.34548825501898,39.25198657716453,29.438989932873426,122.68698809249119,88.35103613346413,68.73465750821242,61.586918033355914,54.314508683938016,28.528622962144937,64.72444320981913,28.52862296214505,9.495688779097009,19.77872705736598,19.625993288582205,19.614726931001314,77.2537656032448,79.58093659505857,85.89875990472203,400.00000000000006,392.5505301883765,380.324836660029,358.3087769125444
10,24,10,0,0.333333333333333,46.59421085147011,152.12335373921383,19.771291445427554,34.42004809091249,41.76162205290149,44.14188396455073,27.086835798180672,127.73304242018277,93.31740227913701,70.04282542271699,55.49925986258302,53.415573799756544,27.39765593419247,73.26690723614468,34.97213635176456,8.70079720828926,17.340569714268472,19.618615095355985,18.373042648572095,75.9982254536335,80.78507181418092,83.37911415526251,399.99999999999994,394.89316614344176,385.01532124635906,363.0189355995551
11,24,11,0,0.3666666666666663,39.45808984850792,145.5226042276216,19.882580663387103,34.613792654576635,36.99195923297625,41.924220464039706,29.59356738638103,123.40513657465394,88.81494736857815,69.09274792565316,60.31774748798,56.248583247166266,28.71944149553883,65.12046854771609,28.940892610685296,12.249014806531022,17.438176815342604,19.729044924254012,19.709149248022868,73.9646724588722,76.20686499972874,86.31457154361118,400.00000000000006,394.70418575522973,379.79212162507,355.1313714868628
12,24,12,0,0.3999999999999997,29.962570166335333,139.91447334130254,22.610217715386046,37.53634979735943,37.53634979735937,42.44697440230835,27.465689319140687,117.45960201166247,79.93919135326837,64.95710594119089,61.79560014173762,58.98227780037382,32.96600981192091,57.060305111719344,18.008048452392813,11.503981455279586,20.130496956872854,19.97504677755685,19.94394847937076,76.28003199826378,80.77856227678114,87.3908296518114,399.99999999999983,397.28661990320626,379.59980239070495,354.5922458936183
13,24,13,0,0.433333333333333,17.4781659303623,135.03947884926214,25.093341955064684,37.45321270791915,32.55534324907107,37.53634979735949,30.066426873469016,109.97619329777383,72.58153897857738,63.85761062566587,62.118791330710565,61.23178229765642,31.615536249571733,48.28567426760458,9.341753863990562,7.62405383172711,20.130496956873042,22.471927624751487,21.182620479839898,75.42392682652235,81.42179743098359,87.42649210163367,399.9999999999999,394.791526159291,379.599802390705,352.0956144227879
