,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,m_0_16,m_1_15,m_2_14,m_3_13
0,17,5,1,0.166833333333333,22.194726059048726,156.7859694166713,16.07532865572256,28.131825147514313,42.24555387000697,46.216569885202055,44.20715380323665,110.53615041756429,82.41056079141235,71.33807182593137,68.55063904359679,68.24158466261304,24.201335372423046,42.13837617644367,11.53010575208748,9.616345931380351,16.075328655722448,18.196036524963063,18.07968128755192,56.28355745993258,58.07845021103071,50.27557430829096,400.00000000000006,397.94556447568664,387.8641526599087,361.71722091005313
1,17,6,0,0.2001999999999996,18.11054389589103,152.05072184784143,15.999800003749868,29.999625007031106,40.04946817377855,44.04488053352488,46.04288220045491,110.07132736354325,80.09893634755642,71.05724703011504,69.79879735387635,70.37684122430176,24.04903352582653,39.98136770442886,7.33393160602327,9.45342579758335,15.999800003749876,15.999800003749982,15.992547081771477,56.624214140428876,57.20225801085451,48.04104808850921,400.00000000000006,398.00005012437185,387.9951500909355,363.99545008531055
2,17,7,0,0.2335666666666662,11.9269853535259,147.17642356702106,17.647058823529346,27.450980392156893,39.264675283334775,43.18179518734354,47.05882352941186,103.94006494665551,76.49572236522025,70.5915718505139,72.80849724747202,70.42821945284322,24.57286782102176,32.32043868197081,2.4502859650591517,8.424316508441507,15.686274509803845,15.686274509803845,15.681830176378526,55.11976618542599,54.606372935603986,52.94117647058839,399.9999999999999,398.0392156862747,384.3187274584452,362.74509803921575
3,17,8,0,0.2669333333333328,11.81105021694452,145.74580901841128,17.475522252105474,29.125870420175826,38.88300670935131,42.76205061866272,46.641827727760464,104.85313351263306,75.72726309245725,69.8854504084901,70.93181383167507,66.85099648125401,22.316606564481276,35.95420984665702,4.633064712657301,8.492983118183702,13.592072862748692,13.730066988044635,14.550264712398075,51.620595543785726,53.2482719798511,54.368291450994754,400.00000000000017,396.1118377143916,382.5246930551622,359.22431638174913
4,17,9,0,0.3002999999999994,9.758442226567196,145.64919810708378,15.310303795549254,26.793031642210963,40.37140154800993,44.183226354915256,49.7952773496814,101.5029553682793,74.73580953576256,69.91104959152824,70.11355987357638,67.59343191919879,19.058467654980518,32.64915769465949,5.130260478554305,6.907850732088605,11.482727846661936,11.48272784666183,12.431881203514422,51.32510592799326,52.15764819863608,57.44552684433932,400.0000000000002,394.3146375942475,379.05081963244265,356.09315480301234
5,17,10,0,0.333666666666666,9.433017834296106,143.69183268452383,17.083921900894186,28.361870569090286,41.676434984546866,45.31777280125754,45.278485604621515,100.06115630453726,71.71575497554375,66.99948580407874,69.08225777770019,64.65362684431545,21.616980694640574,33.19280808487406,2.236239382204303,7.695294344643912,13.340301755368726,13.206224968014663,13.198197138107162,52.50777765077498,51.45542970620829,58.515131750543574,399.99999999999983,392.5767717280821,379.4372063962069,355.0024493416226
6,17,11,0,0.3670333333333326,9.529941211783791,138.61951342125735,16.82077714694219,26.1656533396877,39.42607584870543,43.14864400825504,44.85540572517929,97.20468165910512,71.04564658821582,66.34086740802331,68.501913833657,63.98434944640246,21.414992720350597,30.94965986460386,2.1501868958565638,7.688547082154287,13.082826669843968,13.082826669843968,13.074873851573102,52.01714763208901,50.77916123750481,56.10039809592364,400.00000000000017,392.59603285937516,377.69950381742893,351.5462437417308
7,17,12,0,0.4003999999999992,7.634644457518221,141.16504114597336,16.66505938890927,24.071752450646784,40.90479940519304,42.749196940593954,46.32885029962045,94.50792327848998,70.46097317683356,66.71645460257889,67.88241476799192,61.65682929762147,18.44142500157875,29.73733265915814,3.0593083239277803,4.845687659927535,13.09330722530478,14.813386123475011,14.804485036070218,53.36674555271213,54.02995225230495,57.43172916090228,399.99999999999983,392.6638959418809,377.8547894856066,352.05660785970684
8,17,13,0,0.4337666666666658,5.722642201635053,137.9619728255719,16.286925232230754,28.954533746187934,39.85359127788668,41.77920750601826,43.4694854859112,94.17181119823907,65.2481600493956,62.492064246326095,63.97920633333854,58.8223539165042,17.931295955631413,32.7706202339491,2.9421875822187076,4.525619444649237,14.477266873093967,14.477266873093853,15.368918043117105,56.703978857306765,52.156961684786836,57.937336504307,400.0,391.03698135757173,374.8789299071627,353.3470903237385
9,17,14,0,0.4671333333333324,9.02445993151928,138.60248901389073,14.158737627831936,24.840919080570018,37.33486218296286,39.09709216175919,42.476212883495684,90.33133129034462,65.50807394928525,61.05277441465705,62.8839414727654,55.37199479120727,16.67818633038428,31.202670495834468,5.691183981734412,5.441479382901434,15.928579831310941,15.928579831310941,15.918668175600885,58.51411099318858,53.22869698455793,61.94447712176452,399.99999999999994,389.46583099940005,375.473598094583,354.32665248899383
